cmd:0x04 | len:8 | payload:03 00 00 00 51 10 A1 07
cmd:0x04 | len:8 | payload:01 00 00 00 52 4A B0 07
cmd:0x04 | len:8 | payload:02 00 00 00 AC 52 B0 07
cmd:0x04 | len:8 | payload:03 00 00 00 71 52 B0 07
cmd:0x04 | len:8 | payload:02 00 00 00 CF 94 BF 07
cmd:0x04 | len:8 | payload:01 00 00 00 66 8C BF 07
cmd:0x04 | len:8 | payload:03 00 00 00 94 94 BF 07
cmd:0x04 | len:8 | payload:01 00 00 00 74 CE CE 07
cmd:0x04 | len:8 | payload:02 00 00 00 EF D6 CE 07
cmd:0x04 | len:8 | payload:03 00 00 00 B3 D6 CE 07
cmd:0x04 | len:8 | payload:01 00 00 00 86 10 DE 07
cmd:0x04 | len:8 | payload:02 00 00 00 12 19 DE 07
cmd:0x04 | len:8 | payload:03 00 00 00 D5 18 DE 07
cmd:0x04 | len:8 | payload:01 00 00 00 93 52 ED 07
cmd:0x04 | len:8 | payload:02 00 00 00 2F 5B ED 07
cmd:0x04 | len:8 | payload:03 00 00 00 F3 5A ED 07
cmd:0x04 | len:8 | payload:03 00 00 00 16 9D FC 07
cmd:0x04 | len:8 | payload:01 00 00 00 A6 94 FC 07
cmd:0x04 | len:8 | payload:02 00 00 00 52 9D FC 07
